Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","MY-2032-08","BAT-SMD_MY-2032-08",-2.000000,37.000000,180.000000,bottom
"C1","220nF","C0603",-39.610900,43.698400,90.000000,bottom
"C2","100nF","C0402",-41.198900,46.353400,90.000000,bottom
"C3","100nF","C0402",-42.655900,43.898400,180.000000,bottom
"C4","10uF","C0402",-25.655900,48.391400,0.000000,bottom
"C9","100nF","C0402",-20.500000,44.000000,0.000000,bottom
"L1","1uH","L0603",-39.610900,47.198400,-90.000000,bottom
"Q2","FS8205","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR",-29.610900,46.798400,-90.000000,bottom
"R1","47Ω","R0603",-31.610900,39.898400,-90.000000,bottom
"R2","200kΩ","R0402",-41.677900,48.398400,180.000000,bottom
"R3","866kΩ","R0402",-20.522000,45.500000,180.000000,bottom
"R4","100Ω","R0402",-23.110900,47.331400,90.000000,bottom
"R7","1kΩ","R0402",-27.177900,43.898400,0.000000,bottom
"U1","NT3H2111W0FHKH","XQFN-8_L1.6-W1.6-P0.50-BL",-37.210900,46.548400,180.000000,bottom
"U2","TPS61023DRLR","SOT-563_L1.6-W1.2-P0.50-LS1.6-BR",-42.849900,46.148400,90.000000,bottom
"U3","DW01A_C351410","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL",-25.607900,45.978400,90.000000,bottom
