"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"BT1";"BAT-SMD_MY-2032-08";1;"MY-2032-08";;;
2;"U3";"SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL";1;"DW01A_C351410";;;
3;"U2";"SOT-563_L1.6-W1.2-P0.50-LS1.6-BR";1;"TPS61023DRLR";;;
4;"U1";"XQFN-8_L1.6-W1.6-P0.50-BL";1;"NT3H2111W0FHKH";;;
5;"R7";"R0402";1;"1kΩ";;;
6;"R4";"R0402";1;"100Ω";;;
7;"R3";"R0402";1;"866kΩ";;;
8;"R2";"R0402";1;"200kΩ";;;
9;"R1";"R0603";1;"47Ω";;;
10;"Q2";"SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR";1;"FS8205";;;
11;"LED3,LED2";"LED-SMD_L3.5-W2.8-FD_RED-1";2;"XL-2835UPC-02";;;
12;"LED1";"LED0805-R-RD";1;"17-21SUYC/TR8";;;
13;"L1";"L0603";1;"1uH";;;
14;"C9,C3,C2";"C0402";3;"100nF";;;
15;"C4";"C0402";1;"10uF";;;
16;"C1";"C0603";1;"220nF";;;
