Designator,Mid X,Mid Y,Rotation,Layer
BT1,-29.88,-27.5,0.0,bottom
C1,-43.05,35.435,0.0,bottom
C10,-32.5,-39.5,0.0,bottom
C2,8.07,34.55,270.0,bottom
C3,-27.98,-7.5,0.0,bottom
C4,-19.5,-16.0,270.0,bottom
C5,-25.0,-39.5,0.0,bottom
C6,-6.5,-39.5,0.0,bottom
C7,-46.75,-26.25,0.0,bottom
C8,-14.23,-39.5,0.0,bottom
C9,-16.0,-18.0,180.0,bottom
D1,-34.43,-2.0,0.0,bottom
LED1,-12.96,35.85,180.0,top
LED2,-10.5,8.5,180.0,top
LED3,19.5,-17.5,270.0,top
OC1,-16.5,-27.5,270.0,bottom
ON/OFF,-30.5,-15.9525,180.0,bottom
Q1,-39.93,-5.0,90.0,bottom
Q3,-23.61,-4.715,180.0,bottom
R1,-36.85,35.435,0.0,bottom
R2,15.57,34.55,270.0,bottom
R3,14.07,32.05,0.0,bottom
R4,-14.57,-16.0,180.0,bottom
R5,-30.43,-5.07,270.0,bottom
R7,-19.93,-4.07,270.0,bottom
Solder LED1,-24.905,8.025,0.0,top
Solder LED2,4.915,8.105,0.0,top
U1,-39.85,33.1,0.0,bottom
U2,12.07,34.65,270.0,bottom
U3,-16.0,-12.5,0.0,bottom
