Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.1µF","C_0805_2012Metric",227.700000,-109.959314,0.000000,top
"C2","C","C_0805_2012Metric",211.900000,-116.150000,-90.000000,top
"C3","22pF","C_0805_2012Metric",204.140000,-121.210000,90.000000,top
"C4","22pF","C_0805_2012Metric",204.140000,-117.160000,-90.000000,top
"C5","0.1µF","C_0805_2012Metric",226.550000,-116.760000,-90.000000,top
"C6","C","C_0805_2012Metric",211.860000,-119.850000,90.000000,top
"J1","Barrel_Jack","BarrelJack_SwitchcraftConxall_RAPC10U_Horizontal",226.190000,-96.500000,180.000000,top
"J2","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",241.550000,-125.975000,-90.000000,top
"J3","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",241.650000,-134.025000,-90.000000,top
"J4","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",241.550000,-141.675000,-90.000000,top
"J5","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",236.620000,-138.075000,90.000000,top
"J6","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",241.600000,-129.925000,-90.000000,top
"J7","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",238.960000,-121.925000,90.000000,top
"R1","10kΩ","C_0805_2012Metric",210.400000,-110.775000,0.000000,top
"R2","10kΩ","R_0805_2012Metric",232.000000,-136.487500,-90.000000,top
"SW1","SW_Push","SW_Push_1P1T_NO_6x6mm_H9.5mm",207.675000,-105.525000,180.000000,top
"U1","ATmega328P-A","TQFP-32_7x7mm_P0.8mm",218.300000,-117.075000,0.000000,top
"U2","LM7805_TO220","TO-220-3_Vertical",236.805000,-107.219314,-90.000000,top
"Y1","Crystal","Crystal_HC49-U_Vertical",208.030000,-116.690000,-90.000000,top
