Designator,Mid X,Mid Y,Rotation,Layer
D1,115.57,-74.93,90.0,bottom
D2,137.16,-74.93,90.0,bottom
D3,158.75,-74.93,90.0,bottom
D4,115.57,-96.52,90.0,bottom
D5,137.16,-96.52,90.0,bottom
D6,158.75,-96.52,90.0,bottom
D7,115.57,-118.11,90.0,bottom
D8,137.16,-118.11,90.0,bottom
D9,158.75,-118.11,90.0,bottom
S1,104.775,-74.035,0.0,top
S2,126.365,-74.035,0.0,top
S3,147.955,-74.035,0.0,top
S4,104.775,-95.625,0.0,top
S5,126.365,-95.625,0.0,top
S6,147.955,-95.625,0.0,top
S7,104.775,-117.215,0.0,top
S8,126.365,-117.215,0.0,top
S9,147.955,-117.215,0.0,top
SW1,79.375,-109.22,0.0,top
U1,78.74,-62.38,0.0,top
