Designator	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Layer	Rotation	Comment
"C1"	"C0603"	"34.42mm"	"11.56mm"	"34.42mm"	"11.56mm"	"33.72mm"	"11.56mm"	"T"	"0"	"10uF"
"C2"	"C0603"	"34.67mm"	"8.13mm"	"34.67mm"	"8.13mm"	"33.97mm"	"8.13mm"	"T"	"0"	"10uF"
"C3"	"C0805"	"68.58mm"	"11.81mm"	"68.58mm"	"11.81mm"	"67.58mm"	"11.81mm"	"T"	"0"	"100nF"
"C4"	"C0805"	"68.71mm"	"9.4mm"	"68.71mm"	"9.4mm"	"67.71mm"	"9.4mm"	"T"	"0"	"100nF"
"C11"	"C0603"	"43.31mm"	"8.13mm"	"43.31mm"	"8.13mm"	"42.61mm"	"8.13mm"	"T"	"0"	"10uF"
"C12"	"C0603"	"38.86mm"	"11.68mm"	"38.86mm"	"11.68mm"	"38.16mm"	"11.68mm"	"T"	"0"	"10uF"
"C13"	"C0603"	"43.04mm"	"11.82mm"	"43.04mm"	"11.82mm"	"42.34mm"	"11.82mm"	"T"	"0"	"10uF"
"C14"	"C0603"	"38.99mm"	"8mm"	"38.99mm"	"8mm"	"38.29mm"	"8mm"	"T"	"0"	"10uF"
"U1"	"SOP-16_L10.0-W3.9-P1.27-LS6.0-BL"	"82.8mm"	"10.8mm"	"82.8mm"	"10.8mm"	"78.36mm"	"7.92mm"	"T"	"0"	"SL2.1A"
"U5"	"R0603"	"73.79mm"	"12.57mm"	"73.79mm"	"12.57mm"	"73.03mm"	"12.57mm"	"T"	"0"	"5.1kΩ"
"U6"	"R0603"	"73.91mm"	"10.03mm"	"73.91mm"	"10.03mm"	"73.16mm"	"10.03mm"	"T"	"0"	"5.1kΩ"
"USB5"	"USB-A-TH_USB-231-ARY"	"87.25mm"	"19.56mm"	"87.25mm"	"19.56mm"	"90.75mm"	"18.2mm"	"T"	"180"	"USB-231-ARY"
"USB6"	"USB-C-SMD_TYPEC-304S-ACP16"	"60.33mm"	"8.89mm"	"60.33mm"	"8.89mm"	"55.26mm"	"10.52mm"	"T"	"0"	"TYPEC-304S-ACP16"
"USB7"	"USB-A-TH_USB-231-ARY"	"69.85mm"	"19.56mm"	"69.85mm"	"19.56mm"	"73.35mm"	"18.2mm"	"T"	"180"	"USB-231-ARY"
"USB8"	"USB-A-TH_USB-231-ARY"	"52.32mm"	"19.56mm"	"52.32mm"	"19.56mm"	"55.82mm"	"18.2mm"	"T"	"180"	"USB-231-ARY"
"USB9"	"USB-A-TH_USB-231-ARY"	"35.18mm"	"19.69mm"	"35.18mm"	"19.69mm"	"38.68mm"	"18.33mm"	"T"	"180"	"USB-231-ARY"
