Comment,Designator,Footprint,LCSC
1K,R5,R_0402_1005Metric,C11702
10uF,"C1,C2",C_0402_1005Metric,C15525
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,C167321
RP2040,U3,RP2040-QFN-56,C2040
10K,R8,R_0402_1005Metric,C25744
12M,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C258938
5.1K,"R1,R2",R_0402_1005Metric,C25905
27.4,"R3,R4",R_0402_1005Metric,C284479
AP2112K-3.3,U5,SOT-23-5,C51118
27pF,"C15,C16",C_0201_0603Metric,C5142547
1uF,"C13,C3",C_0201_0603Metric,C53067
100nF,"C10,C11,C12,C14,C4,C5,C6,C7,C8,C9",C_0201_0603Metric,C66938
W25Q128JVS,U2,SOIC-8_5.23x5.23mm_P1.27mm,C97521
Conn_01x03,J6,PinHeader_1x03_P1.27mm_Vertical,
1K,R6,R_0201_0603Metric,
Conn_01x02,J9,PinHeader_1x02_P1.00mm_Vertical,
Conn_01x04,J5,PinHeader_1x04_P1.00mm_Vertical,
Conn_01x13,J4,PinHeader_1x13_P1.00mm_Vertical,
Conn_01x13,J3,PinHeader_1x13_P1.00mm_Vertical,
Conn_01x04,J7,PinHeader_1x04_P1.27mm_Vertical,
Conn_01x02_Pin,J2,PinHeader_1x02_P1.00mm_Vertical,
Conn_01x02,J8,PinHeader_1x02_P1.27mm_Vertical,
Conn_01x04,J10,PinHeader_1x04_P1.00mm_Vertical,
W25Q128JVS,U1,DFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.5mm,
