Comment,Designator,Footprint,LCSC,Quantity
PCM5100APWR,U1,PW0020A,C131154,1
0.1uF,"C1,C13,C15,C17,C2,C3,C4",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1525,7
10uF,"C10,C16,C7,C8,C9",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C15525,5
PJ-320D-A,"J2,J8",HRO_PJ-320D-A,C19189088,2
10uF,"C14,C18",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C19702,2
LED,D1,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C2297,1
2.2uF,"C5,C6",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C23630,2
220,R5,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25091,1
470,"R1,R2,R3,R4",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25117,4
2.2nF,"C11,C12,C21,C22",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28260,4
1uF,"C19,C20",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28323,2
PCM1808PWR,U2,PW14,C55513,1
