"Designator","Mid X","Mid Y","Layer","Rotation"
"D50","301.0455mm","-66.5888mm","top","180.0"
"K10","52.1016mm","-115.5474mm","top","0.0"
"K12","71.1508mm","-53.551mm","top","0.0"
"K6","52.0751mm","-39.4161mm","top","0.0"
"K22","109.2283mm","-58.2683mm","top","0.0"
"D51","282.0034mm","-142.6935mm","top","180.0"
"D66","207.7376mm","-60.285mm","top","150.0"
"D40","338.9684mm","-57.1764mm","top","180.0"
"D56","262.8882mm","-138.0794mm","top","180.0"
"K1","33.0039mm","-44.0689mm","top","0.0"
"D53","282.194mm","-104.8916mm","top","180.0"
"K9","52.1483mm","-96.5932mm","top","0.0"
"K32","178.0699mm","-102.9389mm","top","-30.0"
"D60","262.9801mm","-61.7417mm","top","180.0"
"K14","71.1926mm","-91.6951mm","top","0.0"
"K34","184.9549mm","-128.6279mm","top","-30.0"
"D48","300.972mm","-142.748mm","top","180.0"
"D69","191.6955mm","-50.8839mm","top","150.0"
"D55","281.9745mm","-66.5943mm","top","180.0"
"D45","319.9117mm","-61.908mm","top","180.0"
"K8","52.0646mm","-77.378mm","top","0.0"
"D42","320.0723mm","-118.9574mm","top","180.0"
"D68","182.2062mm","-67.1375mm","top","150.0"
"K18","90.2316mm","-72.68mm","top","0.0"
"D39","339.0805mm","-75.994mm","top","180.0"
"D70","200.9271mm","-34.5501mm","top","150.0"
"K15","71.0816mm","-110.68mm","top","0.0"
"D37","339.2093mm","-114.1794mm","top","180.0"
"D58","263.0034mm","-99.8483mm","top","180.0"
"D52","281.94mm","-123.698mm","top","180.0"
"K2","33.0549mm","-63.0799mm","top","0.0"
"K23","109.2816mm","-77.33mm","top","0.0"
"D36","339.2413mm","-133.2549mm","top","180.0"
"D41","320.1826mm","-138.1236mm","top","180.0"
"D49","300.9176mm","-85.7552mm","top","180.0"
"K17","90.1816mm","-53.58mm","top","0.0"
"K5","33.0538mm","-120.2189mm","top","0.0"
"D59","262.9794mm","-80.72mm","top","180.0"
"K4","32.987mm","-101.1945mm","top","0.0"
"D61","243.7926mm","-133.1971mm","top","180.0"
"K13","71.1704mm","-72.6599mm","top","0.0"
"K30","159.3242mm","-135.4371mm","top","-30.0"
"K29","128.2816mm","-101.1617mm","top","0.0"
"D47","300.9927mm","-123.6534mm","top","180.0"
"D64","243.8996mm","-76.0726mm","top","180.0"
"D67","198.5463mm","-76.4844mm","top","150.0"
"K16","90.1566mm","-34.48mm","top","0.0"
"D65","217.2636mm","-43.9715mm","top","150.0"
"K33","194.3295mm","-112.3064mm","top","-30.0"
"D57","262.8642mm","-118.9027mm","top","180.0"
"K21","109.2462mm","-39.2354mm","top","0.0"
"J1","207.167mm","-93.0822mm","top","60.0"
"D63","243.8698mm","-95.1572mm","top","180.0"
"K31","168.7463mm","-119.2093mm","top","-30.0"
"D54","282.0697mm","-85.6129mm","top","180.0"
"K25","109.2233mm","-115.5025mm","top","0.0"
"U1","224.79mm","-145.796mm","top","90.0"
"D43","320.0794mm","-99.9098mm","top","180.0"
"K3","33.0316mm","-82.08mm","top","0.0"
"K26","128.5816mm","-43.949mm","top","0.0"
"K24","109.2746mm","-96.413mm","top","0.0"
"K19","90.1886mm","-91.6818mm","top","0.0"
"D38","338.9842mm","-95.198mm","top","180.0"
"D44","320.157mm","-80.8661mm","top","180.0"
"K27","128.3468mm","-63.2751mm","top","0.0"
"D46","300.9854mm","-104.6573mm","top","180.0"
"K35","175.607mm","-144.8879mm","top","-30.0"
"K20","90.1108mm","-110.6935mm","top","0.0"
"D62","243.8549mm","-114.2282mm","top","180.0"
"K7","52.0866mm","-58.3858mm","top","0.0"
"K11","71.1844mm","-34.5617mm","top","0.0"
"K28","128.295mm","-82.13mm","top","0.0"
"K52","281.9418mm","-127.967mm","bottom","0.0"
"K64","243.8568mm","-80.3992mm","bottom","0.0"
"K60","262.9148mm","-66.0736mm","bottom","0.0"
"K42","320.0524mm","-123.238mm","bottom","0.0"
"K70","198.8602mm","-38.3104mm","bottom","-30.0"
"K46","301.0274mm","-147.0212mm","bottom","0.0"
"K59","262.9174mm","-85.1175mm","bottom","0.0"
"D10","52.2756mm","-119.8654mm","bottom","180.0"
"D17","90.1695mm","-57.6913mm","bottom","180.0"
"D19","90.1618mm","-95.7856mm","bottom","180.0"
"K65","215.138mm","-47.7084mm","bottom","-30.0"
"K47","301.0209mm","-127.9505mm","bottom","0.0"
"J2","166.7786mm","-89.8048mm","bottom","-120.0"
"D4","32.9534mm","-105.3949mm","bottom","180.0"
"K43","320.0384mm","-104.1902mm","bottom","0.0"
"D29","128.3207mm","-105.3045mm","bottom","180.0"
"K36","339.1099mm","-137.5556mm","bottom","0.0"
"K69","189.4622mm","-54.5882mm","bottom","-30.0"
"K63","243.869mm","-99.3934mm","bottom","0.0"
"D28","128.3138mm","-86.5867mm","bottom","180.0"
"K54","281.977mm","-89.8235mm","bottom","0.0"
"D2","33.0603mm","-67.2991mm","bottom","180.0"
"D35","173.7413mm","-148.771mm","bottom","150.0"
"U2","147.8772mm","-37.1366mm","bottom","-90.0"
"K55","281.9443mm","-70.8023mm","bottom","0.0"
"K56","262.9024mm","-142.3217mm","bottom","0.0"
"K62","243.8448mm","-118.5031mm","bottom","0.0"
"K45","320.0681mm","-66.0721mm","bottom","0.0"
"D6","52.0461mm","-43.7717mm","bottom","180.0"
"K67","196.342mm","-80.264mm","bottom","-30.0"
"D22","108.8359mm","-62.6813mm","bottom","180.0"
"K41","320.0733mm","-142.2827mm","bottom","0.0"
"D1","33.1113mm","-48.1705mm","bottom","180.0"
"K40","339.0855mm","-61.3342mm","bottom","0.0"
"D9","52.3223mm","-100.7936mm","bottom","180.0"
"D13","71.1548mm","-77.1119mm","bottom","180.0"
"D31","166.6816mm","-122.943mm","bottom","150.0"
"K49","300.9684mm","-89.9545mm","bottom","0.0"
"D18","90.2251mm","-77.2907mm","bottom","180.0"
"K48","300.9601mm","-108.9348mm","bottom","0.0"
"D20","89.9316mm","-114.98mm","bottom","180.0"
"K50","301.0211mm","-70.8282mm","bottom","0.0"
"D8","51.9846mm","-81.7148mm","bottom","180.0"
"D21","109.519mm","-43.591mm","bottom","180.0"
"K44","320.0865mm","-85.1453mm","bottom","0.0"
"D5","33.1102mm","-124.5369mm","bottom","180.0"
"K68","180.0642mm","-70.866mm","bottom","-30.0"
"K58","262.9208mm","-104.2063mm","bottom","0.0"
"K61","243.8452mm","-137.5058mm","bottom","0.0"
"D11","71.222mm","-38.9173mm","bottom","180.0"
"D27","128.4216mm","-67.571mm","bottom","180.0"
"D14","71.116mm","-95.92mm","bottom","180.0"
"K38","339.0685mm","-99.3809mm","bottom","0.0"
"D33","191.9656mm","-115.8055mm","bottom","150.0"
"D26","128.6838mm","-48.3249mm","bottom","180.0"
"K39","339.0511mm","-80.2931mm","bottom","0.0"
"K66","205.74mm","-63.9862mm","bottom","-30.0"
"D16","90.4041mm","-38.7952mm","bottom","180.0"
"D24","109.1363mm","-100.5205mm","bottom","180.0"
"K53","281.9492mm","-109.0082mm","bottom","0.0"
"D30","156.7756mm","-139.199mm","bottom","150.0"
"D15","71.1192mm","-114.744mm","bottom","180.0"
"D25","109.3062mm","-119.7058mm","bottom","180.0"
"K37","339.0592mm","-118.4734mm","bottom","0.0"
"D32","176.0273mm","-106.861mm","bottom","150.0"
"D34","182.8853mm","-132.515mm","bottom","150.0"
"D23","109.3716mm","-81.541mm","bottom","180.0"
"D7","52.0066mm","-62.605mm","bottom","180.0"
"K51","281.9501mm","-147.0249mm","bottom","0.0"
"K57","262.9039mm","-123.2283mm","bottom","0.0"
"D12","71.1374mm","-57.7702mm","bottom","180.0"
"D3","33.037mm","-86.4168mm","bottom","180.0"
